Child	Parent
09sprgcasch232_l4	09sprgcasch232_a1
09sprgengec579_a1	09sprgengec579_a1
09sprgengme579_a1	09sprgengec579_a1
09sprgengme579_dl	09sprgengec579_a1
09sprgcasch425_a1	09sprgcasch425_a1
09sprggrsch625_a1	09sprgcasch425_a1
09sprgcaswr150_l6	09sprgcaswr150_l6
09sprgcaswr150_k3	09sprgcaswr150_k3
09sprgcaswr150_l6	09sprgcaswr150_k3
09sprgcomcm321_a1	09sprgcomcm321_a1
09sprgcomcm321_d1	09sprgcomcm321_a1
09sprgcaswr150_a1	09sprgcaswr150_a1
09sprgcaswr150_b3	09sprgcaswr150_a1
09sprgcasir599_a1	09sprgcasir599_a1
09sprgcasge599_a1	09sprgcasir599_a1
09sprgcomjo301_a1	09sprgcomjo301_a1
09sprgcomjo512_a1	09sprgcomjo301_a1
09sum1grsar772sa1	09sum1casar372sa1
09sum1casar372sa1	09sum1casar372sa1
09sprgcfamu740_a1	09sprgcfamu740_a1
09sprgsthta830_a1	09sprgcfamu740_a1
09sprgcashi385_a1	09sprgcashi385_a1
09sprgcasaa385_a1	09sprgcashi385_a1
09sprgcasaa885_a1	09sprgcashi385_a1
09sprggrsaa885_a1	09sprgcashi385_a1
09sprggrshi885_a1	09sprgcashi385_a1
09sprgcgsrh102_f1	09sprgcgsrh102_f1
09sprgcgsrh102_f2	09sprgcgsrh102_f1
09sprgcgsrh102_f3	09sprgcgsrh102_f1
09sprgcgsrh102_f4	09sprgcgsrh102_f1
09sprgsarot524_a1	09sprgsarot524_a1
09sprgsarot565_a1	09sprgsarot524_a1
09sprgsarot594_a1	09sprgsarot524_a1
09sprgsarot595_a1	09sprgsarot524_a1
09sprgsarot524_a1	09sprgsarot524_a1
09sprgcomcm321_b1	09sprgcomcm321_b1
09sprgcomcm321_c1	09sprgcomcm321_b1
09sprgcomco201_b1	09sprgcomco201_b1
09sprgcomco201_d1	09sprgcomco201_b1
09sprgcomco201_i1	09sprgcomco201_b1
09sprgcomco201_a2	09sprgcomco201_b1
09sum2sswfe800sy2	09sum2sswfe800sy2
09sum2sswfe801sy2	09sum2sswfe800sy2
09sum2sswfe803sy2	09sum2sswfe800sy2
09sum2sswfe805sy2	09sum2sswfe800sy2
09sum2sswfe806sy2	09sum2sswfe800sy2
09sum2sswfe807sy2	09sum2sswfe800sy2
09sum2sswfe800sy1	09sum2sswfe800sy1
09sum2sswfe801sy1	09sum2sswfe800sy1
09sum2sswfe803sy1	09sum2sswfe800sy1
09sum2sswfe805sy1	09sum2sswfe800sy1
09sum2sswfe805sy1	09sum2sswfe800sy1
09sum2sswfe806sy1	09sum2sswfe800sy1
09sum2sswfe807sy1	09sum2sswfe800sy1
09sum1sswfe800sy2	09sum1sswfe800sy2
09sum1sswfe801sy2	09sum1sswfe800sy2
09sum1sswfe803sy2	09sum1sswfe800sy2
09sum1sswfe805sy2	09sum1sswfe800sy2
09sum1sswfe806sy2	09sum1sswfe800sy2
09sum1sswfe807sy2	09sum1sswfe800sy2
09sum1sswfe800sy1	09sum1sswfe800sy1
09sum1sswfe801sy1	09sum1sswfe800sy1
09sum1sswfe805sy1	09sum1sswfe800sy1
09sum1sswfe806sy1	09sum1sswfe800sy1
09sum1sswfe807sy1	09sum1sswfe800sy1
09sum1sswfe807sy1	09sum1sswfe800sy1
09sum1sswfe803sy1	09sum1sswfe800sy1
00cwr_sswfe800_y1	00cwr_sswfe800_y1
09sum1sswfe800sy1	00cwr_sswfe800_y1
09sum1sswfe801sy1	00cwr_sswfe800_y1
09sum1sswfe803sy1	00cwr_sswfe800_y1
09sum1sswfe805sy1	00cwr_sswfe800_y1
09sum1sswfe806sy1	00cwr_sswfe800_y1
09sum1sswfe807sy1	00cwr_sswfe800_y1
00cwr_sswfe800_y2	00cwr_sswfe800_y2
09sum2sswfe800sy2	00cwr_sswfe800_y2
09sum1sswfe800sy2	00cwr_sswfe800_y2
09sum1sswfe801sy2	00cwr_sswfe800_y2
09sum1sswfe803sy2	00cwr_sswfe800_y2
09sum1sswfe805sy2	00cwr_sswfe800_y2
09sum1sswfe806sy2	00cwr_sswfe800_y2
09sum1sswfe807sy2	00cwr_sswfe800_y2
09sum1sswfe800sq1	00cwr_sswfe800_q1
09sum1sswfe801sq1	00cwr_sswfe800_q1
09sum1sswfe803sq1	00cwr_sswfe800_q1
09sum1sswfe805sq1	00cwr_sswfe800_q1
09sum1sswfe806sq1	00cwr_sswfe800_q1
09sum1sswfe807sq1	00cwr_sswfe800_q1
09fallcasar371_a1	09fallcasar371_a1
09fallgrsar771_a1	09fallcasar371_a1
09fallcaswr100_j1	09fallcaswr100_j1
09fallcaswr100_k1	09fallcaswr100_j1
09fallcaswr100_m1	09fallcaswr100_j1
09sum1comcm441sa1	09sum1comcm441sa1
09sum1comcm742sa1	09sum1comcm441sa1
09sum2comcm441sb1	09sum2comcm441sb1
09sum2comcm742sb1	09sum2comcm441sb1
09sum1metcs565sat	09sum1metcs565sat
09sum1metcs565sw3	09sum1metcs565sat
09sum1pdper400sa1	09sum1pdper400sa1
09sum1pdper400sb1	09sum1pdper400sa1
09sum1pdper400sc1	09sum1pdper400sa1
09fallcaspo367_a1	09fallcasir367_a1
09fallcasir367_a1	09fallcasir367_a1
09fallgrsbi755_a1	09fallgrsbi755_a1
09fallgmsan810_a1	09fallgrsbi755_a1
09fallcaswr100_e4	09fallcaswr100_e4
09fallcaswr100_fe	09fallcaswr100_e4
09sum1caswr100se2	09sum1caswr100se2
09sum1caswr100sff	09sum1caswr100se2
09sum1caswr100sg1	09sum1caswr100se2
09fallcaswr100_kc	09fallcaswr100_kc
09fallcaswr100_mg	09fallcaswr100_kc
09fallmetek127_s1	09fallmetek127_s1
09fallmetek127_s2	09fallmetek127_s1
09fallcgsss201_w1	09fallcgsss201_w1
09fallcgsss201_w2	09fallcgsss201_w1
09fallcgsss201_w3	09fallcgsss201_w1
09fallcgsss201_w3	09fallcgsss201_w1
09fallcgsss201_w4	09fallcgsss201_w1
09fallcomco101_a1	09fallcomco101_a1
09fallcomco704_a1	09fallcomco101_a1
09fallsphbs723_a1	09fallsphbs723_a1
09fallsphbs723_b1	09fallsphbs723_a1
09fallsphbs723_c1	09fallsphbs723_a1
09fallsphbs723_d1	09fallsphbs723_a1
09fallgmsbn777_a1	09fallgmsbn777_a1
09fallgmsbn778_a1	09fallgmsbn777_a1
09fallgmsbn779_a1	09fallgmsbn777_a1
09fallsarhs420_a1	09fallsarhs420_a1
09fallsarhs520_a1	09fallsarhs420_a1
09fallsarhs384_a1	09fallsarhs384_a1
09fallsarhs584_a1	09fallsarhs384_a1
10sprgsarhs310_a1	10sprgsarhs310_a1
10sprgsarhs510_a1	10sprgsarhs310_a1
09fallcgsss101_e1	09fallcgsss101_e1
09fallcgsss101_e2	09fallcgsss101_e1
09fallcgsss101_e3	09fallcgsss101_e1
09fallcgsss101_e4	09fallcgsss101_e1
09fallcfamu381_a1	09fallcfamu381_a1
09fallcfamu875_a1	09fallcfamu381_a1
09fallengbe726_b1	09fallengbe726_b1
09fallengbe726_b2	09fallengbe726_b1
09fallengme726_b1	09fallengbe726_b1
09fallengme726_b2	09fallengbe726_b1
09fallengms726_b2	09fallengbe726_b1
09fallengms726_b1	09fallengbe726_b1
09fallcgsss101_b1	09fallcgsss101_b1
09fallcgsss101_b2	09fallcgsss101_b1
09fallcgsss101_b3	09fallcgsss101_b1
09fallcgsss101_b4	09fallcgsss101_b1
09falllawjd884_a1	09falllawjd884_a1
09falllawjd884_b1	09falllawjd884_a1
09falllawjd884_c1	09falllawjd884_a1
09fallsarhs420_a1	09fallsarhs420_a1
09fallsarhs520_a1	09fallsarhs420_a1
09sprgcomcm417_e1	09sprgcomcm417_a1
09fallcfadr221_a1	09fallcfadr221_a1
09fallcfadr221_b1	09fallcfadr221_a1
09fallcasls212_e1	09fallcasls212_d1
09fallcasls212_d1	09fallcasls212_d1
09fallcaswr100_c7	09fallcaswr100_c7
09fallcaswr100_e6	09fallcaswr100_c7
